"ensembl_tr_id","GSM4223714","GSM4223715","GSM4223716","GSM4223717","GSM4223718","GSM4223719","GSM4223720","GSM4223721","GSM4223722","GSM4223723","GSM4223724","GSM4223725"
"ENSMUST00000199194",3,6,0,0,0,0,3,0,2,0,0,2
"ENSMUST00000134026",113.232,6.449,117.016,78.92,5.069,13.031,0,0,26,19,26.364,16
"ENSMUST00000081567",4.733,0,5.874,4.496,0,0,5.756,0,0,0,0,0
"ENSMUST00000112626",8.035,44.05,0,0,11.931,10.969,19.244,28,0,0,0,0
"ENSMUST00000118036",4,13,8,10,16,19,22,12,17,11,19,21
"ENSMUST00000061203",1.005,1.005,1,0,1,2,2,1,0,2,4,2
"ENSMUST00000002837",56.795,17.974,57.919,25.641,15.62,16.15,23.814,13.896,1.504,15.848,10.719,10.796
"ENSMUST00000119437",5.514,3.669,6.688,8.608,1.665,0,8.511,8.226,1.754,4.198,0,0
"ENSMUST00000117759",11,0,3,3,3,1,1,1,3,3,5,4
"ENSMUST00000047677",10,7,20,9.536,0,0,0,0,0,0,0,0
"ENSMUST00000031190",67,40,63,38,10,14,19,24,5,7,9,13
"ENSMUST00000119014",11,1,9,5,0,0,2,7,1,0,0,1
"ENSMUST00000196277",2,1,8,3,2,11,7,4,9,2,3,3
"ENSMUST00000197216",29,15,49,21,21,31,33,31,24,15,28,32
"ENSMUST00000196693",3.308,1.078,7.942,3.737,2.099,3.636,0,0,0,0,1.929,1.248
"ENSMUST00000198585",0,2.222,0,4.098,2.358,3.775,11.14,2.129,6.43,4.185,3.601,5.652
"ENSMUST00000100944",2,1,1.02,2,1.01,0,1.006,2,2,2.048,1.005,2
"ENSMUST00000199724",13.614,8.784,25.039,0,6.737,16.199,8.733,8.914,4.646,7.765,12.704,7.678
"ENSMUST00000049628",170.293,364.974,194.8,387.219,183.543,191.298,430.815,417.539,168.831,117.212,211.641,244.845
"ENSMUST00000118632",74.707,79.026,83.2,61.781,146.457,171.702,204.185,229.46,169.951,138.788,134.359,147.155
"ENSMUST00000238630",12,13,19,15,5,5,10,8,4,2,12.745,3.067
"ENSMUST00000046975",62.024,29.206,65.712,57.079,14,15.486,23.385,25.445,20,22,18,17
"ENSMUST00000046892",29,9,20,11,0,5,0,2,2,1,0,0
"ENSMUST00000156110",728.878,678.407,763.706,704.502,395.891,546.202,426.939,471.02,470.263,486.374,678.15,679.663
"ENSMUST00000135225",41.122,0,52.017,0,0,0,15.079,13.431,22.24,0,0,7.05
"ENSMUST00000145467",0,18.593,14.075,20.379,9.109,6.798,15.982,8.549,3.497,10.626,12.85,18.286
"ENSMUST00000146207",18,4,11.133,4,9,7,4,10,2,2,6,7
